year,artists,name,popularity
2018,"['Social House', 'Lil Yachty']",Magic In The Hamptons (feat. Lil Yachty),80
2018,['Brent Faiyaz'],Trust,80
2018,['Lil Mosey'],Noticed,80
2018,"['Kodak Black', 'Offset', 'Travis Scott']",ZEZE (feat. Travis Scott & Offset),80
2018,['Alessia Cara'],Out Of Love,80
2018,['Dominic Fike'],3 Nights,80
2018,"['benny blanco', 'Halsey', 'Khalid']",Eastside (with Halsey & Khalid),80
2018,"['A$AP Rocky', 'Skepta']",Praise The Lord (Da Shine) (feat. Skepta),80
2018,['Troye Sivan'],Strawberries & Cigarettes,80
2019,"['SAINt JHN', 'Imanbek']",Roses - Imanbek Remix,80
2019,['Luke Combs'],Better Together,80
2019,['iann dior'],emotions,80
2019,"['benny blanco', 'Juice WRLD']",Graduation (with Juice WRLD),80
2019,"['Ellie Goulding', 'Juice WRLD']",Hate Me (with Juice WRLD),80
2019,['YNW Melly'],Suicidal,80
2019,['Taylor Swift'],You Need To Calm Down,80
2019,['Lil Tjay'],Sex Sounds,80
2019,['Ariana Grande'],"break up with your girlfriend, i'm bored",80
2019,"['Lil Peep', 'Lil Tracy']",witchblades,80
2019,['Billie Eilish'],wish you were gay,80
2019,['Billie Eilish'],all the good girls go to hell,80
2019,['Bad Bunny'],Vete,80
2019,"['Taylor Swift', 'Brendon Urie', 'Panic! At The Disco']",ME! (feat. Brendon Urie of Panic! At The Disco),80
